date,region,carbon_tax_rate,climate_risk_index,interest_rate
2020-03-31,US,0.06,0.23,0.025
2020-06-30,US,0.06,0.23,0.025
2020-09-30,US,0.06,0.25,0.025
2020-12-31,US,0.06,0.25,0.025
2021-03-31,US,0.06,0.23,0.025
2021-06-30,US,0.06,0.25,0.025
2021-09-30,US,0.06,0.23,0.025
2021-12-31,US,0.06,0.25,0.025
2022-03-31,US,0.06,0.23,0.025
2022-06-30,US,0.06,0.23,0.025
2022-09-30,US,0.06,0.23,0.025
2022-12-31,US,0.06,0.25,0.02
2023-03-31,US,0.06,0.25,0.025
2023-06-30,US,0.06,0.25,0.025
2023-09-30,US,0.06,0.25,0.02
2023-12-31,US,0.06,0.23,0.025
2024-03-31,US,0.06,0.23,0.025
2024-06-30,US,0.06,0.23,0.025
2024-09-30,US,0.06,0.25,0.025
2024-12-31,US,0.06,0.23,0.025
2025-03-31,US,0.06,0.23,0.025
2025-06-30,US,0.06,0.23,0.025
